BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;IMOEX;10.01.2022;Индекс МосБиржи;Индекс МосБиржи;3738,68;3798,43;3806,84;3726,73;85302196824;0;0;2;1,84872E+13;RUB;4944847155;3;;10.01.2022;
SNDX;IMOEX;11.01.2022;Индекс МосБиржи;Индекс МосБиржи;3785,29;3764,56;3800,91;3751,45;81053376710;0;0;2;1,87177E+13;RUB;4944847155;3;;11.01.2022;
SNDX;IMOEX;12.01.2022;Индекс МосБиржи;Индекс МосБиржи;3829,95;3797,31;3841,72;3783,92;1,00865E+11;0;0;2;1,89385E+13;RUB;4944847155;3;;12.01.2022;
SNDX;IMOEX;13.01.2022;Индекс МосБиржи;Индекс МосБиржи;3674,73;3814,98;3818,97;3664,48;1,78771E+11;0;0;2;1,8171E+13;RUB;4944847155;3;;13.01.2022;
SNDX;IMOEX;14.01.2022;Индекс МосБиржи;Индекс МосБиржи;3596,98;3703,9;3723,62;3512,03;2,53411E+11;0;0;2;1,77865E+13;RUB;4944847155;3;;14.01.2022;
SNDX;IMOEX;17.01.2022;Индекс МосБиржи;Индекс МосБиржи;3560,35;3633,01;3651,36;3501,94;1,56354E+11;0;0;2;1,76054E+13;RUB;4944847155;3;;17.01.2022;
SNDX;IMOEX;18.01.2022;Индекс МосБиржи;Индекс МосБиржи;3328,94;3527,77;3534,56;3297,12;3,02734E+11;0;0;2;1,64611E+13;RUB;4944847155;3;;18.01.2022;
SNDX;IMOEX;19.01.2022;Индекс МосБиржи;Индекс МосБиржи;3436,82;3290,31;3500,27;3256,6;2,57223E+11;0;0;2;1,69945E+13;RUB;4944847155;3;;19.01.2022;
SNDX;IMOEX;20.01.2022;Индекс МосБиржи;Индекс МосБиржи;3516,02;3519,02;3533,61;3403,74;1,91687E+11;0;0;2;1,73862E+13;RUB;4944847155;3;;20.01.2022;
SNDX;IMOEX;21.01.2022;Индекс МосБиржи;Индекс МосБиржи;3439,25;3420,12;3503,84;3407,27;1,80588E+11;0;0;2;1,70066E+13;RUB;4944847155;3;;21.01.2022;
SNDX;IMOEX;24.01.2022;Индекс МосБиржи;Индекс МосБиржи;3235,28;3426,19;3426,47;3158,46;2,6289E+11;0;0;2;1,5998E+13;RUB;4944847155;3;;24.01.2022;
SNDX;IMOEX;25.01.2022;Индекс МосБиржи;Индекс МосБиржи;3258,74;3316,98;3330,9;3229,45;1,57537E+11;0;0;2;1,6114E+13;RUB;4944847155;3;;25.01.2022;
SNDX;IMOEX;26.01.2022;Индекс МосБиржи;Индекс МосБиржи;3357,66;3341,71;3412,15;3276,06;1,60814E+11;0;0;2;1,66031E+13;RUB;4944847155;3;;26.01.2022;
SNDX;IMOEX;27.01.2022;Индекс МосБиржи;Индекс МосБиржи;3455,93;3296,47;3525,94;3284,49;2,37137E+11;0;0;2;1,7089E+13;RUB;4944847155;3;;27.01.2022;
SNDX;IMOEX;28.01.2022;Индекс МосБиржи;Индекс МосБиржи;3488,6;3508,57;3534,4;3446,01;1,43425E+11;0;0;2;1,72506E+13;RUB;4944847155;3;;28.01.2022;
SNDX;IMOEX;31.01.2022;Индекс МосБиржи;Индекс МосБиржи;3530,38;3524,11;3566,05;3518,55;1,17693E+11;0;0;2;1,74572E+13;RUB;4944847155;3;;31.01.2022;
SNDX;IMOEX;01.02.2022;Индекс МосБиржи;Индекс МосБиржи;3548,17;3564,55;3584,71;3531,35;1,10134E+11;0;0;2;1,75452E+13;RUB;4944847155;3;;01.02.2022;
SNDX;IMOEX;02.02.2022;Индекс МосБиржи;Индекс МосБиржи;3543,8;3574,87;3580,22;3516,17;1,10896E+11;0;0;2;1,75236E+13;RUB;4944847155;3;;02.02.2022;
SNDX;IMOEX;03.02.2022;Индекс МосБиржи;Индекс МосБиржи;3471,18;3498,76;3519,23;3446,65;1,02907E+11;0;0;2;1,71645E+13;RUB;4944847155;3;;03.02.2022;
SNDX;IMOEX;04.02.2022;Индекс МосБиржи;Индекс МосБиржи;3471,01;3499,32;3556,32;3464,14;1,24983E+11;0;0;2;1,71636E+13;RUB;4944847155;3;;04.02.2022;
SNDX;IMOEX;07.02.2022;Индекс МосБиржи;Индекс МосБиржи;3470,78;3511,39;3521,26;3437,93;74559343724;0;0;2;1,71625E+13;RUB;4944847155;3;;07.02.2022;
SNDX;IMOEX;08.02.2022;Индекс МосБиржи;Индекс МосБиржи;3551,65;3497,18;3551,65;3487,64;1,21465E+11;0;0;2;1,75624E+13;RUB;4944847155;3;;08.02.2022;
SNDX;IMOEX;09.02.2022;Индекс МосБиржи;Индекс МосБиржи;3638,93;3593;3638,93;3580,45;1,37283E+11;0;0;2;1,7994E+13;RUB;4944847155;3;;09.02.2022;
SNDX;IMOEX;10.02.2022;Индекс МосБиржи;Индекс МосБиржи;3655,76;3628,51;3655,76;3592,75;1,36808E+11;0;0;2;1,80772E+13;RUB;4944847155;3;;10.02.2022;
SNDX;IMOEX;11.02.2022;Индекс МосБиржи;Индекс МосБиржи;3546,62;3579,69;3596,74;3514,12;1,36512E+11;0;0;2;1,75375E+13;RUB;4944847155;3;;11.02.2022;
SNDX;IMOEX;14.02.2022;Индекс МосБиржи;Индекс МосБиржи;3481,38;3442,82;3524,87;3404,35;1,88829E+11;0;0;2;1,72149E+13;RUB;4944847155;3;;14.02.2022;
SNDX;IMOEX;15.02.2022;Индекс МосБиржи;Индекс МосБиржи;3600,29;3532;3614,15;3514,98;1,85245E+11;0;0;2;1,78029E+13;RUB;4944847155;3;;15.02.2022;
SNDX;IMOEX;16.02.2022;Индекс МосБиржи;Индекс МосБиржи;3646,41;3682,94;3683,95;3608,01;1,41371E+11;0;0;2;1,80309E+13;RUB;4944847155;3;;16.02.2022;
SNDX;IMOEX;17.02.2022;Индекс МосБиржи;Индекс МосБиржи;3511,08;3588,27;3595,12;3498,2;1,66699E+11;0;0;2;1,73618E+13;RUB;4944847155;3;;17.02.2022;
SNDX;IMOEX;18.02.2022;Индекс МосБиржи;Индекс МосБиржи;3393,31;3547,04;3565,52;3371,05;1,767E+11;0;0;2;1,67794E+13;RUB;4944847155;3;;18.02.2022;
SNDX;IMOEX;21.02.2022;Индекс МосБиржи;Индекс МосБиржи;3036,88;3458,73;3460,42;2910,49;4,69405E+11;0;0;2;1,50169E+13;RUB;4944847155;3;;21.02.2022;
SNDX;IMOEX;22.02.2022;Индекс МосБиржи;Индекс МосБиржи;3084,74;2909,4;3113,4;2756,46;4,30551E+11;0;0;2;1,52536E+13;RUB;4944847155;3;;22.02.2022;
SNDX;IMOEX;24.02.2022;Индекс МосБиржи;Индекс МосБиржи;2058,12;2735,88;2740,31;1681,55;2,46453E+11;0;0;2;1,01771E+13;RUB;4944847155;3;;24.02.2022;
SNDX;IMOEX;25.02.2022;Индекс МосБиржи;Индекс МосБиржи;2470,48;2261,33;2552,46;2256,09;1,89354E+11;0;0;2;1,22162E+13;RUB;4944847155;3;;25.02.2022;
SNDX;IMOEX;24.03.2022;Индекс МосБиржи;Индекс МосБиржи;2578,51;2474,52;2761,17;2447,68;1,00222E+11;0;0;2;1,27503E+13;RUB;4944847155;3;;24.03.2022;
SNDX;IMOEX;25.03.2022;Индекс МосБиржи;Индекс МосБиржи;2484,13;2620,62;2664,74;2470,69;49167284761;0;0;2;1,22836E+13;RUB;4944847155;3;;25.03.2022;
SNDX;IMOEX;28.03.2022;Индекс МосБиржи;Индекс МосБиржи;2430,7;2479,49;2484,57;2407,2;25937057003;0;0;2;1,20195E+13;RUB;4944847155;3;;28.03.2022;
SNDX;IMOEX;29.03.2022;Индекс МосБиржи;Индекс МосБиржи;2408,49;2442,43;2538,2;2363,62;59068848969;0;0;2;1,19096E+13;RUB;4944847155;3;;29.03.2022;
SNDX;IMOEX;30.03.2022;Индекс МосБиржи;Индекс МосБиржи;2513,03;2437,92;2513,03;2437,92;39721405988;0;0;2;1,24266E+13;RUB;4944847155;3;;30.03.2022;
SNDX;IMOEX;31.03.2022;Индекс МосБиржи;Индекс МосБиржи;2703,51;2535,32;2703,51;2533,39;80017047215;0;0;2;1,33684E+13;RUB;4944847155;3;;31.03.2022;
SNDX;IMOEX;01.04.2022;Индекс МосБиржи;Индекс МосБиржи;2759,64;2714,62;2817,72;2714,62;77972322863;0;0;2;1,3646E+13;RUB;4944847155;3;;01.04.2022;
SNDX;IMOEX;04.04.2022;Индекс МосБиржи;Индекс МосБиржи;2787,69;2775,06;2835,46;2682,34;67754307203;0;0;2;1,37847E+13;RUB;4944847155;3;;04.04.2022;
SNDX;IMOEX;05.04.2022;Индекс МосБиржи;Индекс МосБиржи;2662,79;2796,56;2808,27;2576,34;68532631919;0;0;2;1,31671E+13;RUB;4944847155;3;;05.04.2022;
SNDX;IMOEX;06.04.2022;Индекс МосБиржи;Индекс МосБиржи;2611,43;2641,79;2696,97;2594,95;45527445852;0;0;2;1,29131E+13;RUB;4944847155;3;;06.04.2022;
