begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01 09:00:00,57.78,,,14.31,26.6,859.6,18182,67.49,19.855,,12.366,499.0,,,,,1140.0,851.0,2309,7.3,,75.09,,,4.984,,,829.6,,279.8,10.18,9.2,,,7.82,,,,,,,488.0,59.04,,0.0901,29.99,981.0,298.0,39.2,,200.48,,,2690.0,,,374.6,308.6,174.0,,939,8.5,,0.7849,2922,,,3.348,44.88,,,,400.0,,,,,,,,,88.8,,,,,8.2,,,,7.7,,0.0167,,15.8,,,3915.0,,1465,,136.75,556.4,,,,32.0,,388.0,,,,4250.5,,,658,17.1,,85.77,0.248,10.24,0.1735,,0.165,0.03,,0.02655,,2.0355,0.913,,123.89,139.15,272.0,188.0,,,,,63.44,,133.3,5.365,,,,1025.8,0.6343,18.16,,837.5,7825,729.0,8830.5,113.1,,375.5,860.4,,,,299.0,291.5,,,,,87.0,,,391.85,,,63.01,62.2,,,53.5,,,,,,,124.13,121.25,41.41,,8.089,393.2,2.96,2660.0,24.03,35.225,,167.0,,0.6035,,,21.75,,0.457,,421.0,383.4,1795.0,0.0089,,,,705,,,55.44,,,,,,0.62,,1.475,,0.0612,,40.55,,,,,300.0,,,,,,,,88.5,,,,110.0,,,,,,,,
2022-07-01 10:00:00,57.8,172.0,,14.87,26.96,880.0,18652,67.48,21.075,,12.45,504.0,5.75,0.7165,,825,1157.0,870.0,2333,7.49,839,75.09,13.45,,4.995,36.2,,838.0,3260,279.6,10.24,9.2,,,7.82,0.91,1840,1820,5.7,,,487.5,61.44,,0.09114,29.98,996.5,302.0,39.2,,201.85,,,2688.0,,67.65,388.6,314.75,174.42,,938,8.52,,0.7924,3260,2498,1200,3.5155,46.0,,,10.02,401.4,419.2,168.5,,,,37.2,8.79,,89.6,849,35400,7900,10460,8.22,295.0,228.0,7.15,7.76,57.0,0.01718,70.2,16.16,,694.5,3970.0,8240,1470,7.03,138.65,575.0,12.27,5.54,3.5,32.385,,404.0,,204.5,,4255.0,10940,1450,668,17.7,17.2,85.77,0.2476,10.46,0.1733,0.2705,0.165,0.03065,0.0321,0.0271,0.327,2.0995,0.91,78.9,123.88,139.6,275.0,189.7,170.8,257.0,319.5,78.05,64.6,23.4,133.5,5.38,,565,146.0,1043.2,0.6737,18.2,,843.5,8037,770.0,8830.5,117.1,119.6,385.0,888.0,,,,298.5,295.0,154.0,44.22,0.1258,6010,87.0,0.6825,111.2,393.7,45.0,,63.8,62.2,0.528,0.525,53.46,53.6,15.66,,,0.1036,0.0892,129.0,124.5,41.39,611.4,8.107,401.05,2.99,2808.0,26.4,35.45,,172.7,0.71,0.6035,173.5,,21.75,,,0.402,429.5,393.7,1793.5,0.009488,0.00378,0.00545,0.00256,705,,,61.22,1207.5,0.4845,87.0,,1040,0.6285,5730,1.484,10400,0.0637,7.1,44.0,,1.755,,580,301.8,67.85,164.6,91.0,,58960,,,90.275,7.72,6.68,,110.0,,0.2775,,,83.0,,3025,3.56
2022-07-01 11:00:00,56.5,171.5,,14.879,27.46,869.0,18500,66.29,19.835,,12.408,505.0,5.73,0.716,,825,1145.0,865.5,2309,7.21,831,74.39,13.45,,5.064,35.4,,832.8,3260,271.6,9.7,8.46,,,7.5,0.908,,1800,5.38,,,481.0,61.6,,0.09054,29.83,987.0,303.0,38.76,,195.92,,,2674.0,,67.75,385.0,311.0,173.86,,917,8.45,,0.7928,3208,2400,1213,3.55,47.88,,,10.0,400.4,416.4,167.5,,,38.2,37.4,8.63,,87.9,851,34800,,10400,8.37,295.0,225.0,7.1,7.7,56.9,0.0168,71.1,16.05,,672.0,3970.0,7930,1440,7.01,137.05,580.0,12.24,5.37,3.49,31.905,,404.0,,,,4249.0,10880,,666,17.6,16.6,84.9,0.245,10.38,0.171,0.2705,0.1608,0.0303,0.0309,0.027,,2.0675,0.8915,78.3,122.09,138.0,271.75,189.0,173.8,255.5,319.0,77.6,64.44,23.4,135.4,5.4,,560,145.5,1032.0,0.669,18.04,4045,844.0,7984,777.5,8843.0,116.2,118.2,388.6,867.4,,,,294.0,293.0,152.0,43.18,0.1226,5980,87.6,0.67,111.0,379.95,44.6,,64.0,61.8,0.532,0.53,53.25,53.4,15.44,1.226,1.182,0.0978,,128.47,123.92,40.05,605.0,8.067,399.9,2.905,2837.0,26.25,35.89,,169.3,,0.5645,173.0,,21.3,,0.4595,,432.7,397.0,1850.0,0.0094,0.003685,0.00525,0.0025,705,,,61.94,1187.0,0.467,88.0,,1042,0.625,5800,1.459,10380,0.0629,6.98,43.7,,1.8,1299,584,301.4,67.0,164.6,92.0,,58340,,,90.3,7.7,6.56,,105.05,,,,172,82.5,,2925,3.56
2022-07-01 12:00:00,57.0,171.5,,15.28,27.6,863.8,18780,66.45,19.75,,12.428,507.0,5.74,,,,1144.0,864.5,2310,7.21,839,72.8,13.35,,5.079,37.2,,844.0,,273.8,9.7,8.58,,,7.31,0.908,,1810,5.38,,,484.5,61.12,,0.09052,29.56,979.0,306.9,39.6,,196.3,,,2652.0,,68.0,385.0,311.95,177.42,,932,8.42,,0.793,3176,2422,1223,3.5285,48.72,,,10.0,400.2,415.0,163.0,,,,36.8,8.63,,87.6,848,,,10400,8.32,292.0,220.0,7.14,7.68,56.7,0.01688,71.1,15.96,,679.0,3975.0,7880,1455,7.07,140.85,584.6,,5.36,3.41,32.175,,403.0,278.0,,,4269.0,10860,1405,680,17.0,16.6,85.5,0.245,10.68,0.1712,0.2705,0.161,0.03025,0.0309,0.02725,0.319,2.079,0.8875,78.7,124.33,139.7,273.4,190.5,175.2,253.5,318.0,77.4,65.22,23.38,137.84,5.4,,,145.5,1072.2,0.6703,18.03,4045,855.0,8018,777.5,8840.0,116.0,117.6,382.3,865.0,,,,297.5,296.0,154.0,42.89,0.1226,5990,90.2,0.67,,379.8,44.6,,64.6,62.0,0.528,0.538,53.335,53.5,15.9,1.232,1.188,0.0984,0.0892,130.8,126.0,40.2,604.2,8.091,409.25,2.94,2829.0,26.69,36.6,,170.9,0.6985,0.5665,173.0,,21.25,,,0.388,437.5,404.8,1877.0,0.00937,0.00366,0.00525,0.00252,700,,0.187,60.54,1198.0,0.4685,90.0,,1042,0.625,,1.474,10220,0.0634,7.08,43.5,,1.83,,588,307.8,66.55,165.6,92.0,,58220,,,91.2,,6.58,,106.9,,,,,,,2915,
2022-07-01 13:00:00,57.1,172.0,,15.24,27.24,863.0,18600,66.44,19.985,,12.44,507.0,5.72,,,,1149.5,870.0,2300,7.31,829,72.8,13.4,,5.093,37.8,,849.8,3330,275.6,9.68,8.36,,,7.32,0.906,,1750,5.38,,,488.0,60.4,,0.09072,30.46,980.0,302.4,39.95,,197.69,,,2637.5,,68.1,384.8,311.6,175.24,,939,8.4,,0.7929,3154,2354,1226,3.4895,50.0,,,,399.8,412.2,165.0,,0.291,38.6,37.2,8.63,,90.8,849,,7900,10280,,293.0,223.0,7.14,7.66,,0.01687,71.0,15.91,,680.0,3975.0,7790,1455,7.02,139.4,578.0,12.23,5.35,3.41,32.385,,403.2,,204.5,,4298.5,10790,1405,680,17.0,16.6,85.47,0.249,10.62,0.1728,0.2685,0.16,0.03025,0.03085,0.02725,0.32,2.0705,0.89,78.7,124.6,140.0,274.5,190.5,176.8,,317.5,77.6,64.84,22.9,139.56,5.35,,,145.0,1076.0,0.6633,18.04,,858.5,7974,765.4,8922.5,115.9,118.0,376.7,865.0,,,,296.0,295.55,,42.88,0.1284,5970,89.4,0.678,111.2,379.0,44.8,,64.3,62.15,0.536,0.545,53.315,53.5,15.7,1.22,,0.0988,,131.4,126.69,40.24,604.0,8.079,414.65,2.94,2799.5,26.235,36.63,,170.0,0.6935,0.5685,173.0,,21.2,,,,435.7,402.2,1848.5,0.009278,0.003685,0.0053,0.00253,715,,,60.06,1199.5,0.474,94.0,,1042,0.6485,5740,1.475,10420,0.0634,6.91,43.1,,1.735,1284,585,308.0,66.75,164.0,92.0,,58180,3765,4180,91.25,7.7,6.54,,106.1,,,,,,,2930,3.545
2022-07-01 14:00:00,56.58,172.0,,15.23,27.22,863.0,18620,66.25,22.0,,12.434,506.0,5.74,,,830,1150.0,878.0,2299,7.32,836,72.78,,,5.069,37.6,,855.0,3335,274.4,9.64,8.32,,,7.5,0.906,,1790,5.32,,,489.5,60.94,,0.0911,31.5,980.0,301.9,39.89,,197.5,,,2644.0,,67.7,385.0,309.9,175.52,,939,8.69,,0.7982,3082,2384,1217,3.471,49.0,,,9.92,400.2,414.0,163.5,,,,,8.63,,90.3,855,,,10260,8.27,293.5,,7.15,7.66,56.0,0.01685,71.1,15.88,,678.0,3998.0,7850,1450,7.03,139.35,577.8,12.24,5.36,3.42,32.535,,402.0,,,,4312.0,10700,,686,17.0,16.6,85.39,0.249,10.3,0.1728,0.267,0.1598,0.0305,0.0309,0.02725,0.318,2.0755,0.8955,78.5,124.1,138.65,275.0,190.5,176.6,253.0,317.5,77.6,64.58,,139.56,5.395,1780,,145.5,1075.0,0.6612,18.04,4045,863.5,7981,764.5,8930.5,115.9,118.2,373.6,866.0,,,,296.0,294.2,160.0,42.89,0.1288,6590,90.0,0.6719999999999999,111.2,378.9,44.8,,64.34,62.15,0.546,0.544,53.35,53.6,15.6,,,0.0986,0.0894,131.44,127.0,40.27,604.0,8.068,413.85,2.94,2769.0,25.95,36.3,,169.1,0.6985,0.569,173.5,,21.2,,,,433.2,396.8,1860.0,0.009314,0.00374,0.00528,0.00253,715,,,60.04,1204.5,0.474,94.0,,1042,0.64,5780,1.476,10660,0.0635,6.91,42.5,,1.75,1300,581,308.6,66.6,164.0,91.6,,58460,3835,,91.1,,6.54,,104.8,,0.2865,0.27,,,,2985,3.545
2022-07-01 15:00:00,56.92,172.0,,14.99,27.18,864.0,18718,66.58,22.72,,12.45,507.0,,0.6885,,830,1155.0,880.0,2329,7.26,833,72.5,13.4,,5.061,37.4,,854.0,3330,273.2,9.66,8.18,,,7.64,0.913,,1810,5.34,,,490.5,60.78,,0.091,31.55,979.5,302.0,39.6,,196.7,,,2643.0,,67.65,387.0,309.25,174.56,,940,8.8,,0.8074,3094,2350,1216,3.476,51.9,,14.0,9.92,400.2,414.4,166.0,,0.292,,,,,89.7,868,35400,7800,10180,,291.0,,7.15,7.78,56.2,0.01683,71.3,16.39,,677.0,3981.0,7860,1450,7.0,139.3,581.0,12.16,5.35,3.42,32.425,,397.5,,206.5,,4295.0,10960,,678,17.0,16.5,85.2,0.249,10.6,0.1729,0.267,0.1596,0.0305,0.0309,0.0272,0.319,2.1,0.89,,124.1,137.95,276.35,190.5,,252.0,317.5,77.55,64.78,22.86,139.96,5.39,,,146.0,1068.0,0.6618,18.01,4045,859.5,8011,763.0,8958.5,114.9,118.4,373.2,866.0,,,,296.0,292.8,158.0,42.9,0.129,6060,89.8,0.6725,111.4,378.8,,,66.94,63.85,0.546,0.544,53.035,53.7,15.66,,,0.0984,,130.88,126.5,40.14,603.4,8.1,413.85,2.915,2781.0,25.97,36.26,,168.8,,0.5655,174.0,,21.2,,,0.3815,433.4,396.2,1845.0,0.009328,0.00373,0.0053,,,,0.1875,59.96,1207.5,0.474,91.5,,1028,0.6385,5740,1.464,,0.0647,6.9,42.45,,,,574,306.8,66.6,164.0,91.4,,58220,3835,4280,90.625,7.76,6.52,,105.0,,0.282,0.2785,172,83.0,,2955,
2022-07-01 16:00:00,56.98,172.0,,15.03,27.0,870.6,18728,66.82,21.3,,12.45,506.5,5.74,0.714,,830,1142.0,880.0,2332,7.24,820,72.75,,,5.06,37.6,5480,858.4,3315,273.2,9.66,8.16,,,7.64,0.909,,1780,5.34,,,492.0,60.68,,0.09074,31.55,980.0,301.9,39.7,,196.38,,,2643.0,,67.6,387.0,311.6,174.88,,1003,8.62,,0.8045,3078,2356,1214,3.5035,56.0,,,10.0,399.8,415.4,164.5,0.159,,,37.6,8.67,,89.1,854,35400,,10220,8.26,294.5,220.0,7.14,7.78,56.0,0.0168,71.4,16.24,,679.0,4002.5,7860,1450,7.0,139.3,584.0,12.06,,3.42,32.77,,395.0,,210.0,,4306.5,10680,1400,676,17.0,16.5,86.8,0.249,10.48,0.175,0.267,0.1592,0.03045,0.0309,0.02725,0.319,2.1,0.8905,78.5,124.1,137.65,277.0,190.4,176.4,252.0,317.0,77.25,64.98,,139.4,5.38,,560,148.0,1063.8,0.6589,18.03,,852.0,8011,772.9,8935.0,114.9,117.8,372.5,900.0,,,,295.5,291.95,156.0,44.0,0.1292,6000,90.0,0.671,,377.95,44.8,,65.86,63.15,0.544,0.544,52.95,54.1,15.52,1.212,,,,132.0,127.85,40.29,603.8,8.098,413.4,2.85,2790.0,26.2,36.4,,168.7,0.6965,0.5695,176.0,,21.25,,,,435.4,395.0,1858.0,0.00939,0.0037,0.0053,,,,,60.0,1207.0,0.474,90.5,,1030,0.6445,5750,1.463,,0.0642,7.0,42.15,,,1299,574,306.2,66.6,164.8,91.4,,58480,,,90.95,,6.52,,109.95,,,,170,83.0,,2930,3.5
2022-07-01 17:00:00,56.84,173.5,,15.189,27.0,869.8,18700,67.0,21.22,,12.444,503.5,,0.6915,,840,1135.0,878.0,2322,7.26,821,72.67,13.3,,5.074,37.6,,859.0,3310,273.0,9.62,8.14,,,7.79,0.906,1860,1780,5.28,,,486.5,60.56,,0.09688,31.22,979.0,301.9,40.6,,195.49,,,2643.0,,67.45,386.4,310.9,174.32,,1010,8.49,,0.801,3128,2350,1217,3.567,54.48,,13.9,,401.0,414.6,162.0,,,38.4,,8.68,,89.2,,,,10300,,294.0,216.0,7.15,7.78,55.8,0.01685,71.5,16.34,,676.5,3994.0,7910,1450,7.04,139.0,577.6,12.16,5.36,3.42,32.655,,395.0,,,,4303.0,10660,1410,678,17.1,16.2,85.84,0.2496,10.34,0.1745,0.268,0.1586,0.03065,0.031,0.0276,0.316,2.0795,0.891,79.0,124.1,137.65,278.0,190.5,176.6,250.5,318.0,77.75,64.98,23.0,139.8,5.36,,,149.0,1058.6,0.6578,18.01,,855.5,7999,772.0,8676.0,116.0,117.8,372.5,883.8,,,,296.0,290.6,158.0,44.01,0.1292,6020,89.0,0.67,111.6,377.6,44.6,,65.75,63.3,0.544,0.553,52.9,54.6,15.46,1.214,1.19,0.0976,,131.78,127.69,40.28,603.8,8.098,412.65,2.925,2789.0,26.175,36.4,,168.2,,0.572,175.0,,21.35,,0.4605,,439.3,395.0,1865.0,0.009202,0.003725,0.00523,0.00253,715,,,59.5,1207.0,0.475,91.0,,1038,0.65,5730,1.464,,0.0641,7.0,42.25,,1.8,,580,305.2,66.95,165.0,91.4,,58340,,,90.875,7.82,6.58,,109.95,,,,,82.5,,2930,3.5
2022-07-01 18:00:00,56.8,173.5,,15.4,26.98,872.4,18700,66.8,21.255,,12.42,501.5,5.7,0.714,,840,1127.0,872.0,2322,7.39,821,72.0,13.4,,5.052,37.6,,856.6,3245,272.0,9.7,8.1,,,7.76,0.905,1860,1790,5.26,,,494.0,60.64,,0.09346,31.49,977.0,302.0,43.0,,194.8,,,2640.0,,67.7,386.5,311.6,172.6,,958,8.61,,0.8012,3110,2350,1217,3.5575,55.0,,13.85,10.0,401.0,413.8,,0.1585,,,37.6,8.68,,89.6,862,,,10320,8.26,293.0,216.0,7.12,7.78,56.0,0.01706,71.1,16.4,,679.5,3982.0,7900,1435,6.99,139.2,581.0,,5.35,3.43,32.585,,395.0,277.0,,,4302.5,10560,,676,,16.3,85.42,0.2494,10.48,0.1743,0.2675,0.1582,0.03055,0.031,0.0277,0.329,2.075,0.8915,79.5,124.1,137.0,279.0,190.7,177.4,251.5,318.0,77.6,64.56,23.4,140.18,5.37,,,,1060.2,0.6621,18.01,,855.0,7970,780.0,8510.0,116.0,117.2,372.2,895.0,,,,296.0,288.25,154.0,44.51,0.1292,6060,89.6,0.673,111.4,377.35,44.8,,65.55,63.25,0.544,,52.985,54.8,15.46,1.214,,0.0978,0.088,130.98,127.0,40.14,603.6,8.098,410.0,2.935,2815.0,26.05,36.245,,167.1,,0.571,174.0,,21.35,,0.4595,0.393,439.9,395.1,1864.0,0.009188,0.0037,0.0052,0.00251,,0.261,,59.8,1203.0,0.474,90.5,,1030,0.641,,1.469,,0.0645,6.99,41.95,,1.755,,578,304.8,66.95,165.4,91.6,,58360,,,90.275,,6.58,,109.1,,,,,,,2920,
