begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01 09:00:00,57.78,,,14.31,26.6,859.6,18182,67.49,19.855,,12.366,499.0,,,,,1140.0,851.0,2309,7.3,,75.09,,,4.984,,,829.6,,279.8,10.18,9.2,,,7.82,,,,,,,488.0,59.04,,0.0901,29.99,981.0,298.0,39.2,,200.48,,,2690.0,,,374.6,308.6,174.0,,939,8.5,,0.7849,2922,,,3.348,44.88,,,,400.0,,,,,,,,,88.8,,,,,8.2,,,,7.7,,0.0167,,15.8,,,3915.0,,1465,,136.75,556.4,,,,32.0,,388.0,,,,4250.5,,,658,17.1,,85.77,0.248,10.24,0.1735,,0.165,0.03,,0.02655,,2.0355,0.913,,123.89,139.15,272.0,188.0,,,,,63.44,,133.3,5.365,,,,1025.8,0.6343,18.16,,837.5,7825,729.0,8830.5,113.1,,375.5,860.4,,,,299.0,291.5,,,,,87.0,,,391.85,,,63.01,62.2,,,53.5,,,,,,,124.13,121.25,41.41,,8.089,393.2,2.96,2660.0,24.03,35.225,,167.0,,0.6035,,,21.75,,0.457,,421.0,383.4,1795.0,0.0089,,,,705,,,55.44,,,,,,0.62,,1.475,,0.0612,,40.55,,,,,300.0,,,,,,,,88.5,,,,110.0,,,,,,,,
2022-07-01 10:00:00,56.04,170.5,,14.2,26.02,846.0,18000,65.9,19.62,,12.36,495.5,5.53,0.687,,815,1125.0,848.0,2265,7.09,832,71.51,12.9,,4.932,34.4,,810.0,3220,264.4,9.5,8.04,,,7.07,0.886,1840,1810,5.28,,,463.5,57.2,,0.08888,28.18,961.5,288.0,37.92,,186.2,,,2580.0,,67.25,370.1,303.0,170.5,,890,8.4,,0.7781,2922,2396,1183,3.2985,44.58,,,9.8,397.2,412.6,161.0,,,,37.2,8.64,,86.7,842,34800,7850,10320,8.19,291.5,218.5,7.1,7.56,55.1,0.0165,68.8,15.51,,650.0,3876.0,7850,1400,6.88,135.5,539.0,12.02,5.4,3.43,31.32,,388.2,,204.5,,4202.5,10790,1415,660,16.9,16.1,84.03,0.2386,9.96,0.1683,0.268,0.1558,0.02985,0.03015,0.0262,0.318,1.9925,0.855,77.05,120.56,135.35,270.05,183.8,166.4,254.0,313.0,77.0,62.4,23.14,131.08,5.32,,545,143.5,1009.6,0.633,17.4,,814.0,7698,713.0,8671.5,113.6,114.6,364.0,851.2,,,,284.5,286.6,150.0,42.61,0.1212,5970,83.8,0.655,110.8,373.75,43.6,,61.51,60.8,0.522,0.525,52.11,53.5,15.24,,,0.085,0.0876,122.5,118.59,39.62,597.0,7.875,393.7,2.76,2610.5,23.77,34.86,,165.0,0.6905,0.5455,171.5,,20.1,,,0.39,421.1,383.5,1731.5,0.00876,0.00363,0.005,0.00249,705,,,54.56,1172.5,0.456,87.0,,964,0.6065,5700,1.439,10400,0.0612,6.86,40.9,,1.68,,565,292.0,67.0,162.8,88.2,,57200,,,86.575,7.7,6.56,,103.0,,0.2775,,,83.0,,2890,3.545
2022-07-01 11:00:00,56.12,169.5,,14.75,26.64,858.0,18270,66.06,19.62,,12.334,500.5,5.73,0.715,,825,1133.0,851.5,2288,7.1,810,72.29,13.4,,4.972,35.2,,824.4,3240,268.8,9.5,7.98,,,7.21,0.9,,1790,5.32,,,477.0,59.96,,0.08974,29.28,951.5,299.0,38.46,,191.34,,,2610.0,,67.45,380.0,307.35,172.0,,913,8.44,,0.788,3090,2316,1192,3.48,45.68,,,10.0,397.0,410.0,161.0,,,38.2,35.2,8.6,,85.2,834,34800,,10320,8.18,292.0,220.5,7.1,7.66,56.9,0.01661,69.7,15.82,,665.5,3910.0,7810,1420,6.93,136.6,568.0,12.02,5.37,3.36,31.54,,400.2,,,,4213.0,10600,,658,17.0,16.3,84.11,0.244,9.62,0.1697,0.2705,0.1592,0.02985,0.03045,0.02685,,2.028,0.879,77.3,118.8,136.5,269.05,187.0,171.0,252.5,315.0,77.05,64.18,23.4,131.8,5.335,,559,144.5,1026.2,0.6533,17.72,4045,838.0,7765,755.0,8705.5,115.0,116.4,376.3,863.4,,,,291.5,286.0,152.0,42.21,0.122,5950,85.6,0.6625,110.8,374.5,44.6,,62.96,61.15,0.52,0.527,52.645,52.6,15.28,1.224,1.182,0.0976,,126.0,120.33,39.04,600.8,7.991,395.25,2.865,2761.5,25.52,35.28,,167.6,,0.55,171.5,,20.8,,0.4515,,425.0,387.0,1780.0,0.00933,0.003645,0.0052,0.00248,680,,,59.22,1178.5,0.4635,88.0,,1026,0.6015,5710,1.45,10080,0.0608,6.6,42.65,,1.71,1291,580,293.8,65.9,163.8,91.0,,57760,,,88.85000000000001,7.68,6.56,,103.05,,,,172,82.0,,2890,3.56
2022-07-01 12:00:00,56.2,170.0,,14.791,27.08,855.8,18484,66.1,19.73,,12.33,503.5,5.74,,,,1135.5,860.0,2295,7.1,821,70.0,13.3,,5.007,35.6,,832.6,,268.0,9.6,8.02,,,7.22,0.9,,1720,5.3,,,477.0,59.32,,0.09002,29.2,961.0,300.0,38.65,,193.2,,,2612.5,,67.7,380.6,309.0,173.26,,917,8.4,,0.7815,3024,2316,1212,3.451,47.4,,,9.92,398.0,411.8,161.5,,,,36.2,8.6,,85.7,841,,,9980,8.27,291.0,220.0,7.1,7.64,55.0,0.01675,70.5,15.8,,667.5,3921.5,7700,1430,6.92,136.6,570.8,,5.36,3.38,31.69,,396.0,278.0,,,4220.5,10500,1405,664,16.8,16.2,84.16,0.244,9.66,0.17,0.268,0.1584,0.03,0.03055,0.0265,0.319,2.0495,0.8805,78.2,121.36,137.4,271.7,186.5,174.0,253.5,315.0,77.0,64.14,22.78,135.1,5.3,,,144.5,1031.6,0.6308,17.71,4005,840.0,7909,756.0,8788.5,115.1,116.8,375.0,863.6,,,,292.0,290.9,154.0,42.09,0.122,5940,86.8,0.6645,,377.5,44.6,,63.56,61.35,0.528,0.529,52.51,51.8,15.36,1.226,1.188,0.0974,0.0892,126.66,121.44,39.46,600.8,8.001,398.9,2.9,2734.0,25.805,35.46,,168.4,0.6985,0.553,171.5,,21.15,,,0.388,430.1,395.5,1835.5,0.009212,0.00363,0.00514,0.00251,695,,0.187,59.8,1187.5,0.466,88.0,,1040,0.6195,,1.453,10040,0.0623,6.85,42.75,,1.675,,580,298.8,66.15,162.0,91.0,,57520,,,89.125,,6.54,,104.8,,,,,,,2915,
2022-07-01 13:00:00,55.86,170.0,,15.001,27.04,858.0,18522,66.12,19.73,,12.394,505.0,5.64,,,,1139.0,863.0,2286,7.1,828,71.36,13.4,,5.027,36.8,,832.2,3225,271.4,9.42,8.04,,,7.24,0.9,,1720,5.3,,,482.5,59.66,,0.09,29.34,970.5,301.0,39.0,,193.95,,,2628.5,,67.7,381.0,309.15,174.04,,923,8.35,,0.7825,3022,2350,1213,3.451,48.02,,,,397.2,411.6,161.0,,0.291,38.6,36.8,8.6,,87.1,842,,7850,10040,,290.0,220.0,7.1,7.58,,0.01674,70.6,15.7,,672.0,3935.0,7700,1430,6.93,139.0,565.0,12.18,5.35,3.38,31.805,,399.0,,204.5,,4248.0,10450,1405,676,16.9,16.3,84.55,0.244,9.54,0.1701,0.266,0.1588,0.0301,0.0306,0.02665,0.316,2.043,0.88,78.5,123.44,137.0,272.8,187.4,174.6,,315.0,77.3,64.46,22.78,136.7,5.285,,,145.0,1047.0,0.6541,17.83,,844.0,7923,752.1,8793.0,114.5,116.8,372.0,860.2,,,,293.5,292.6,,42.7,0.1222,5970,87.6,0.6655,111.0,377.6,44.8,,63.61,61.5,0.53,0.538,52.395,52.4,15.5,1.21,,0.0988,,129.21,124.5,39.82,600.8,8.025,408.05,2.885,2700.0,25.92,35.94,,169.1,0.6935,0.562,172.0,,21.1,,,,430.4,395.0,1830.0,0.009176,0.00363,0.00515,0.00253,700,,,59.5,1194.5,0.469,90.0,,1026,0.623,5720,1.464,10220,0.0633,6.82,41.7,,1.715,1284,581,301.2,66.05,162.8,91.0,,57600,3765,4180,89.94999999999999,7.68,6.54,,104.8,,,,,,,2925,3.495
2022-07-01 14:00:00,56.04,171.0,,14.85,27.06,855.0,18502,66.1,19.9,,12.382,501.0,5.72,,,805,1141.0,865.0,2288,7.14,812,72.0,,,5.04,36.8,,846.8,3310,270.2,9.54,8.06,,,7.27,0.903,,1750,5.28,,,482.5,59.82,,0.09056,30.0,970.5,301.0,39.12,,195.1,,,2636.0,,67.0,382.3,305.6,174.1,,929,8.34,,0.7885,3028,2328,1212,3.451,48.14,,,9.92,398.0,412.8,162.5,,,,,8.62,,89.1,848,,,10140,8.27,293.0,,7.14,7.66,56.0,0.01675,70.5,15.8,,670.5,3951.0,7720,1430,6.93,138.85,571.6,12.06,5.35,3.38,32.16,,389.0,,,,4250.0,10590,,670,16.9,16.1,85.0,0.2478,9.82,0.1717,0.266,0.159,0.0301,0.03065,0.02705,0.318,2.0585,0.887,77.75,123.78,136.45,273.55,189.9,176.4,245.5,315.5,77.1,64.46,,138.2,5.325,1780,,145.5,1059.6,0.651,17.91,4045,853.0,7926,757.0,8900.0,114.5,117.4,370.0,864.0,,,,293.5,291.5,152.0,42.7,0.1262,5500,88.0,0.6679999999999999,111.2,377.1,44.6,,63.84,61.8,0.538,0.544,52.68,52.9,15.48,,,0.0984,0.0894,130.23,125.55,40.01,600.8,8.04,408.0,2.895,2730.5,25.66,35.99,,168.6,0.6985,0.5635,173.5,,21.0,,,,430.0,395.1,1843.0,0.00924,0.00369,0.00526,0.00253,715,,,59.14,1198.0,0.4715,91.5,,1002,0.6335,5730,1.458,10460,0.0634,6.9,42.4,,1.71,1299,579,305.2,66.2,162.6,91.0,,58140,3760,,90.39999999999999,,6.52,,104.75,,0.273,0.27,,,,2930,3.45
2022-07-01 15:00:00,56.52,171.5,,14.851,26.88,860.0,18596,66.17,20.9,,12.392,504.0,,0.6885,,830,1132.5,869.0,2290,7.17,812,71.57,13.3,,5.042,37.4,,850.0,3330,270.8,9.6,8.04,,,7.49,0.907,,1770,5.28,,,482.5,60.06,,0.09048,30.67,968.0,301.0,39.46,,195.0,,,2639.0,,66.8,381.4,307.85,173.36,,939,8.46,,0.7942,3042,2284,1214,3.452,48.28,,13.9,9.92,397.2,412.6,166.0,,0.292,,,,,88.9,853,35200,7800,10100,,290.5,,7.14,7.64,56.2,0.01681,70.5,15.85,,675.0,3950.0,7770,1435,6.92,138.7,575.0,12.16,5.35,3.38,32.225,,393.6,,206.0,,4260.0,10700,,670,17.0,16.3,85.1,0.2482,9.98,0.172,0.2665,0.1584,0.03035,0.0307,0.02705,0.316,2.0625,0.883,,123.66,136.55,274.6,189.5,,250.5,315.5,77.0,64.46,22.86,138.3,5.365,,,145.0,1056.4,0.6567,17.83,4000,850.5,7961,757.9,8890.0,114.4,117.2,371.3,865.0,,,,294.0,290.5,154.0,42.74,0.1266,5800,89.0,0.669,111.4,377.05,,,64.16,62.0,0.538,0.544,52.75,52.9,15.5,,,0.0964,,130.09,125.55,39.57,600.8,8.046,408.1,2.8,2750.0,25.81,36.1,,167.2,,0.555,171.5,,21.1,,,0.3815,432.3,391.0,1843.0,0.00923,0.0037,0.00529,,,,0.1875,59.02,1200.0,0.4715,89.0,,1012,0.627,5740,1.45,,0.0629,6.89,41.0,,,,574,305.0,66.55,163.4,91.0,,58200,3835,4240,89.8,7.7,6.52,,104.25,,0.282,0.2685,172,83.0,,2950,
2022-07-01 16:00:00,56.6,171.5,,14.913,26.86,860.0,18570,66.51,20.8,,12.39,499.5,5.73,0.714,,830,1100.5,873.5,2319,7.17,812,72.32,,,5.042,37.0,5480,847.6,3305,271.2,9.54,8.1,,,7.42,0.906,,1770,5.24,,,483.0,59.82,,0.09048,30.7,971.5,301.0,39.47,,194.14,,,2640.0,,67.45,382.8,307.1,173.52,,940,8.46,,0.7995,3038,2302,1212,3.4735,50.0,,,9.98,398.6,414.0,164.5,0.159,,,37.2,8.64,,88.3,853,35400,,10180,8.26,290.0,216.0,7.14,7.78,55.8,0.01675,70.4,16.01,,673.0,3955.5,7720,1435,6.95,138.3,572.2,12.06,,3.41,32.39,,393.0,,208.0,,4290.0,10640,1380,670,16.8,16.2,84.46,0.248,10.22,0.1726,0.2665,0.1584,0.03035,0.0307,0.02705,0.319,2.055,0.885,78.45,123.82,136.5,275.2,188.6,176.4,250.0,316.0,77.0,64.5,,137.26,5.35,,560,145.5,1052.6,0.652,17.9,,849.5,7980,759.9,8610.5,114.4,117.0,371.5,866.0,,,,294.0,286.75,152.0,42.82,0.129,5910,88.2,0.669,,377.0,44.8,,65.15,62.85,0.542,0.535,52.785,53.0,15.3,1.212,,,,130.66,126.43,39.8,600.8,8.051,410.6,2.83,2773.5,25.855,36.12,,167.3,0.6965,0.5575,172.5,,21.1,,,,432.4,392.5,1843.0,0.009102,0.0037,0.00521,,,,,59.1,1201.5,0.4715,90.0,,1010,0.634,5730,1.45,,0.0642,6.89,40.9,,,1290,573,303.8,66.55,163.2,91.0,,58220,,,90.075,,6.52,,104.95,,,,170,83.0,,2930,3.5
2022-07-01 17:00:00,56.42,171.5,,14.965,26.8,868.0,18600,66.5,21.015,,12.388,500.0,,0.6885,,835,1116.0,868.5,2313,7.17,820,71.75,13.3,,5.03,37.2,,853.2,3180,270.4,9.56,8.04,,,7.49,0.898,1860,1770,5.22,,,482.5,59.96,,0.09052,30.83,970.0,301.5,39.64,,194.1,,,2633.0,,67.45,382.7,309.5,172.5,,951,8.48,,0.7995,3036,2300,1213,3.492,52.74,,13.85,,398.0,413.6,162.0,,,38.2,,8.67,,88.6,,,,10200,,293.0,216.0,7.12,7.78,55.8,0.01675,70.6,16.1,,673.0,3972.5,7860,1435,6.97,138.4,570.4,12.06,5.36,3.41,32.39,,393.5,,,,4297.0,10210,1370,672,16.9,16.2,85.36,0.2482,10.2,0.1736,0.267,0.157,0.03035,0.0309,0.0272,0.316,2.021,0.8855,78.6,123.82,136.5,276.3,188.6,176.6,246.5,316.0,76.85,64.44,22.88,139.16,5.345,,,147.5,1045.2,0.65,17.74,,851.0,7910,763.0,8362.5,114.9,116.8,371.3,879.4,,,,294.5,287.25,158.0,43.33,0.129,6020,88.4,0.6655,111.0,375.0,44.0,,65.22,62.9,0.544,0.537,52.62,52.8,15.38,1.212,1.176,0.0976,,130.62,126.71,39.76,600.8,8.07,408.0,2.825,2773.5,25.725,36.06,,165.1,,0.565,172.0,,21.2,,0.4605,,435.0,392.2,1854.5,0.00904,0.00369,0.00519,0.00251,715,,,59.02,1201.5,0.472,91.0,,1038,0.6335,5730,1.45,,0.0641,6.96,40.8,,1.735,,573,304.0,66.6,164.6,91.2,,57800,,,90.0,7.76,6.52,,108.5,,,,,82.5,,2830,3.5
2022-07-01 18:00:00,56.28,171.5,,14.85,26.68,868.0,18576,66.24,20.5,,12.366,499.0,5.7,0.711,,830,1116.5,868.0,2313,7.2,821,71.5,13.35,,5.036,37.0,,830.0,3240,270.4,9.56,8.02,,,7.51,0.901,1860,1780,5.24,,,483.5,60.26,,0.0927,31.0,972.0,301.5,40.55,,191.64,,,2633.0,,67.5,382.9,308.0,170.0,,941,8.48,,0.8,3032,2300,1212,3.4375,52.86,,13.85,9.88,398.4,413.8,,0.1585,,,37.4,8.62,,88.6,857,,,10240,8.26,293.0,216.0,7.12,7.64,56.0,0.01684,70.7,16.25,,674.5,3944.0,7740,1420,6.97,138.6,570.0,,5.35,3.4,32.19,,394.0,277.0,,,4155.0,10480,,672,,16.3,84.9,0.2474,10.14,0.1714,0.2675,0.1568,0.03035,0.03095,0.0274,0.321,2.051,0.8855,77.9,123.03,135.5,277.85,189.6,176.6,249.0,315.5,76.15,63.92,23.2,133.1,5.345,,,,1045.2,0.65,17.69,,851.0,7800,766.6,8401.0,116.0,117.2,371.1,880.2,,,,294.5,286.6,152.0,43.34,0.129,6020,89.0,0.6655,111.4,373.75,44.2,,65.11,62.9,0.536,,52.6,54.7,15.42,1.214,,0.0946,0.0878,129.9,126.22,39.6,603.6,8.068,395.05,2.87,2779.5,25.11,36.0,,165.7,,0.5615,173.0,,21.2,,0.4595,0.393,422.1,380.0,1854.5,0.009102,0.0037,0.00505,0.00248,,0.259,,59.0,1198.5,0.472,90.0,,1012,0.6315,,1.451,,0.064,6.73,40.8,,1.73,,572,300.6,66.2,162.0,91.4,,57880,,,87.525,,6.52,,105.7,,,,,,,2920,
