begin,ABIO,ABRD,ACKO,AFKS,AFLT,AGRO,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CIAN,CNTL,CNTLP,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIVE,FIXP,FLOT,GAZC,GAZP,GAZS,GAZT,GCHE,GECO,GEMA,GEMC,GLTR,GMKN,HEAD,HHRU,HIMCP,HNFG,HYDR,IGST,IGSTP,INGR,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUBE,KUZB,KZOS,KZOSP,LEAS,LENT,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGNZ,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,PHOR,PIKK,PLZL,PMSB,PMSBP,POLY,POSI,PRFN,PRMB,PRMD,QIWI,RASP,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSB,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,TASB,TASBP,TATN,TATNP,TCSG,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2022-07-01 09:00:00,6355.8,,,699759.0,329042.0,19770.8,90910,1867448.299999996,11913.0,,4946.4,16966.0,,,,,44460.0,158286.0,60034,1460,,4505.4,,,996.8,,,1124108.0000000002,,279.8,53954,81880,,,62560,,,,,,,19032.0,3955.6800000000003,,36040.0,38987.0,126549.0,1788.0,24304.0,,151855580.79999852,,,16140.0,,,374.6,30859.999999999993,1479000.0,,9390,850,,26686.600000000002,35064,,,385354.79999999993,444312,,,,8000,,,,,,,,,8880,,,,,18860,,,,770,,12191.0,,316.0,,,544185.0,,4395,,884772.5,31158.399999999998,,,,845440.0,,4656.0,,,,136016.0,,,1974,1710,,99493.2,4216.0,5222.4,8675,,1650,300.0,,3717.0,,14248.5,21912.0,,170596.53,15306.5,1090720.0,122388.0,,,,,53924.0,,438557.0,49358.0,,,,1322256.2000000004,2056400.6,181.6,,11725.0,2425750,1839996.0,476847.0,11310,,216288.0,51624.00000000001,,,,299.0,145750.0,,,,,1305.0,,,65335501.60000015,,,222425.30000000016,4354.0,,,97370.0,,,,,,,8476837.699999992,1227050.0,10766.6,,66329.8,659396.4000000001,592.0,1348620.0,997245.0,408610.0,,501.0,,28968.0,,,195.75,,4570.0,,1883554.0,1247583.6000000003,28720.0,469920.0,,,,4230,,,9979.2,,,,,,4960.0,,97350,,6120,,405.5,,,,,135900.0,,,,,,,,1119879.0,,,,154000.0,,,,,,,,
2022-07-01 10:00:00,2460292.8000000003,375705,,165283798.60000002,38754814.0,8855440.6,24445762,178916545.60000002,7506705.5,,258274.32,1144944.5,11434,11085.0,,13980,3634157.5,32194399.5,5544071,241095,5856,5522799.499999998,38360,,87300980.69999999,158514,,150687472.79999998,55145,475423.00000000006,3168648,9373358,,,1081014,213548,1840,5440,842071.0000000001,,,36359699.5,3538303.24,,15664265.600000001,6994133.0,11513961.5,2491236.5,3669173.8,,11031139584.999998,,,5935864.0,,6742.5,857939.2999999999,5254429.150000001,236163656.0,,591958,46313,,16290496.399999999,339564,31272,12607015,121849075.35,14487842,,,27642,804638,287566,533610,,,,372,22594,,1167514,11815,141000,15750,684420,128691,26425,31150,53469,11482,40358,124976.20000000001,928059,257726.9,,1230923.5,514870244.0,396640,646300,139908,7214565.5,30995574.799999997,18126,3262,19022,63283594.099999994,,2490635.9999999995,,2045,,68889511.0,173040,4280,43906,568550,1287900,75917378.69999999,3348707.4000000004,1202125.4000000001,4637239,16155,1384298,178534.0,377929.5,1465781.0,131030,10634722.5,3499415.5,55432.0,37411663.3,24996462.0,77734040.0,9165752.299999997,225616,43290,502425,531865.5,2781402.0000000005,37200,44267513.000000015,1780940.5,,35930,92210,251788624.39999998,70307333.30000001,819661.9000000005,,21505401.5,104157231,272603451.0,114350945.5,117099,157904,61930433.199999996,5999867.2,,,,4944901.0,40271650.0,169500,383763.2,65445.00000000001,23930,6137580.600000001,673432.0,60954,1559193209.9500003,268774,,21896069.10000001,2937412.5,12050,1050,25139825.29999999,20902,282354,,,172622,1768,2128567301.4999995,247203245.40000004,5945874.500000002,493776.0,29729977.39999999,24111559.549999997,125484.0,156743166.0,535509432.0,115171789.0,,5489068.50000001,18178.5,2230399.0,61995.0,,879440.3500000001,,,91090,46144545.199999996,28907006.400000002,38407408.0,20191350.399999995,300635,220038,128430,17625,,,20808922.599999998,28205150.0,1914645.5,1740,,120208,2777721.5,62910,25751974,10400,63186,67852,50597.5,,168180,,75267,24855391.199999988,88592.5,703682,712004,,5400880,,,173146149.60000005,3082,4644,,782428.5,,2775,,,1660,,532455,10655
2022-07-01 11:00:00,1162618.2,1049355,,43834151.1,24851987.999999996,3107343.5999999996,9992568,59456254.20000001,1192381.0,,97581.29999999997,478055.0,1146,7156.0,,825,1153500.5,9703671.0,2750032,254783,219877,2519306.9,4025,,57970753.800000004,9192,,42030670.99999999,19515,78467.59999999999,1313960,5052986,,,446207,31675,,14330,6707.600000000001,,,5941876.5,1859599.34,,7009928.799999999,8534926.0,8287072.5,2114791.3000000003,1523331.9000000004,,3399151751.4,,,1937382.5,,7424.5,482899.1,1932072.3,191541396.0,,14642,10980,,6152813.699999999,220386,54454,5035642,88625338.29999998,15764488,,,1000,715414,347006,62885,,,1528,68588,64578,,1481469,38611,104400,,300160,36375,8800,11115,19880,25344,1707,17081.6,221451,61250.79999999999,,352117.0,235394807.0,275270,127625,182696,2255725.0,25480185.000000004,35158,537,88938,35072649.25000001,,701859.7,,,,19894465.0,107500,,144308,689270,66030,40160623.5,485394.8,2629860.6,2186706,2705,107352,201820.0,194887.0,41004.5,,3864128.5,590397.5,18746.5,47739368.789999984,11495902.0,73482618.0,2530032.3000000003,32756,38170,91780,88140.5,335245.80000000005,2340,51631771.400000006,1443323.5,,13995,86915,177166737.40000007,19171564.500000004,294469.6,4045,7806918.0,73655138,166494473.30000004,65285586.5,34629,23400,28967843.200000003,1611077.6000000003,,,,706681.5,27620537.0,4560,664248.0000000001,109322.79999999999,35760,1969419.0,195422.0,50988,324161305.9499998,446,,8712817.700000001,1597352.5,31566,58801,14640208.250000002,17431,165900,28156,44916,25384,,973910580.8999997,210601098.00000003,7848117.799999998,560734.0,11492247.1,19280403.1,9831.5,108643744.0,363985479.0,148025001.0,,1259997.1000000003,,461031.0,178845.0,,1167892.1,,22271.0,,37370674.40000001,15138722.999999998,58171356.0,5501361.8,18365,19335,67250,24530,,,24638072.000000007,5801450.0,431758.0,3520,,14480,805812.0,40320,5687674,339940,69918,365162,31401.0,,45800,9046,26133,27623481.599999998,247611.0,211610,884340,,2614660,,,57970359.10000001,1538,1968,,159484.0,,,,1720,23805,,141880,3560
2022-07-01 12:00:00,1444073.2000000004,394545,,183112423.7,24928228.799999997,4849090.600000002,13429390,156080792.3,1038661.0,,50278.6,294747.0,13202,,,,425730.0,4287329.0,2723879,120226,42066,5488717.199999999,5325,,68752785.20000002,92174,,71215150.99999999,,339349.4,569630,4224566,,,138675,146004,,126140,206052.0,,,12128021.5,1518783.3400000005,,2564317.8000000017,1971160.0,5542108.0,4073288.8000000003,1840290.899999999,,1661990741.8999994,,,2734055.0,,19014.0,300339.3,1860911.7500000005,305716620.0,,36980,80735,,8979811.0,83738,211958,8599684,44301991.14999999,15028846,,,1992,467554,53722,19445,,,,18248,12066,,1064930,10950,,,5601120,11639,40810,8800,45471,56826,33347,6576.799999999999,235760,59371.90000000001,,369383.0,404152242.5,272570,158430,527317,12211974.5,17880501.2,,1608,10819,66050761.55000001,,720647.0000000003,5560,,,45627965.5,1535910,1405,114990,50520,152420,35188212.199999996,915629.7999999999,6814788.0,907164,59065,399564,57173.5,40894.5,270432.5,3190,2151634.0,414529.5,164885.5,54289961.80000001,10229655.5,113737408.0,7281372.500000003,24460,10140,34830,842813.5,577349.0000000001,29868,35797253.4,2366456.5,,,5810,439332447.6,46194655.49999998,232571.40000000002,8050,18244102.5,56073390,135929980.4,43047059.5,21946,5856,27860874.300000004,2708137.6000000006,,,,1611325.5,13436090.0,1540,552643.2,134158.80000000002,59670,3515495.2000000007,414096.5,,128495964.25,4014,,12931518.3,1632402.0,528,17678,19617390.599999998,222450,297860,22132,2376,9790,892,1457610219.9000006,201580895.80000004,4028551.1999999993,48110.0,12130532.600000003,44435162.999999985,48017.0,119493150.5,271633988.0,478418308.0,,1477191.7000000002,698.5,301849.0,70610.0,,43173.14999999999,,,7760,24665998.699999996,21256589.099999994,52368531.0,4464671.4,25500,38761,62950,2090,,1870,3205459.799999999,11463000.0,350999.5,32045,,2082,268788.5,,8056294,20260,40344,144075,29340.0,,106845,,57705,14972405.999999998,3988.5,424272,220314,,3588360,,,94869859.25,,15762,,287652.0,,,,,,,90365,
2022-07-01 13:00:00,1641096.8,380475,,67646197.20000002,7865622.600000002,1628007.1999999995,8531568,53996465.400000006,907200.5,,57120.06000000002,273420.0,6212,,,,1701356.5,15459377.0,2038494,218688,2485,2646730.0999999987,5360,,59324574.099999994,78938,,85260508.8,144135,619305.2000000002,894814,1146688,,,81493,65816,,31340,5164.4,,,4556496.5,683175.9199999999,,1887302.7999999998,10314412.0,2844842.0,850744.1,2910070.3,,1455371357.8000002,,,1126668.5,,16285.0,281141.9,1371430.8,71810756.0,,189177,97344,,8217509.300000002,155490,190412,5966111,29645826.749999993,21488246,,,,550038,24712,22800,,2910,3474,1484,194700,,2249410,2540,,15750,2387720,,37960,4430,22733,53418,,30165.999999999996,87077,278595.4999999999,,560990.5,156386605.0,332730,73670,413096,478817.5,11118341.0,12223,2140,7497,51119360.05,,737158.1,,16360,,24477827.0,2076440,9835,9472,16990,105910,28353082.599999994,1753196.9999999998,9549033.2,880927,225040,82980,312057.0,10432.5,137394.5,50880,1535049.0,242132.5,24356.5,36200996.38999999,19555460.5,37071989.5,4207962.9,52782,,44235,167481.5,627646.0000000001,54832,47794057.4,1017943.0,,,10150,268142243.79999995,12507643.700000001,100285.80000000003,,10249387.5,33189252,47865801.9,37860405.5,94313,45884,22601022.499999996,2448326.1999999997,,,,629598.5,9501819.0,,39345.3,63319.799999999996,11940,1496902.0000000005,177884.5,40030,94381389.85000001,6272,,11071649.799999999,1384599.5,17658,9183,19323436.1,68906,104656,15780,,988,,814811976.7999998,100658454.40000002,1180325.9000000001,54162.0,7501476.600000001,20718806.65,4389.5,49756604.0,105645716.5,252438349.5,,943560.9000000001,6935.0,67912.0,27640.0,,1433757.4999999993,,,,11293043.8,9325641.899999999,26326546.5,1966056.4000000004,14625,32358,2530,83810,,,2287960.8,7177500.0,358264.0,122700,,7246,4121986.0,40070,4659932,186260,9497,37092,332043.0,,25795,1284,7594,7156159.199999999,49845.5,96502,159424,,1853620,3765,4180,59598435.65,68450,8502,,1130956.5,,,,,,,14640,17540
2022-07-01 14:00:00,592610.6000000001,282995,,79186343.29999998,6342292.2,8663865.799999997,12902220,59429117.19999999,22271138.0,,68891.36000000002,343112.0,15479,,,33415,337388.5,15077121.0,1345124,14455,89026,1223142.4,,,30256123.0,64918,,95441163.99999999,13290,327816.99999999994,97918,2667964,,,269198,8141,,49550,2270.7999999999997,,,5518917.5,805343.0199999999,,7792656.4,39664689.0,2916438.0,1179072.5,2320505.8,,955967322.0000004,,,609683.0,,90682.0,201497.49999999997,4060935.750000001,73912300.0,,119891,311401,,42743827.39999999,170732,30508,3126883,20789823.449999996,7497982,,,992,1182566,49630,8135,,,,,6039,,472572,13601,,,937280,827,8800,,4289,12256,1680,5211.1,55306,44055.0,,272021.5,236689409.5,264660,134935,322821,584174.0,6056122.800000002,7298,19812,2035,32631559.399999987,,2219696.5000000005,,,,43737205.5,245360,,96632,33970,240530,12795293.199999997,918433.5999999999,1448815.0,356783,21305,33468,283277.5,15411.0,88786.0,3180,1200652.0,505988.5,16477.5,27907413.189999998,9065046.5,31451098.0,2715309.8000000003,3530,726390,31645,204966.5,419322.19999999995,,23220441.000000004,1059182.5,1780,,26190,92207730.80000001,7746151.900000001,47013.399999999994,4045,8599347.5,22201580,27130785.7,33770301.5,14952,24786,34140889.199999996,1336242.4000000004,,,,315977.5,4237042.5,204460,106684.69999999998,112418.60000000002,2202470,3092192.6,48881.5,1112,68196262.6,4028,,10000054.899999999,780895.5,122126,544,16648223.849999998,38853,18666,,,1970,894,523592201.9,79123803.30000001,1964692.3000000005,114280.0,5660766.800000001,13349656.900000002,22279.0,11181088.0,88829561.5,94980485.5,,654149.8999999998,698.5,63388.5,8675.0,,211116.2,,,,11299965.000000002,4837054.5,29383599.0,2326035.4,93255,4217,5060,3575,,,3159649.8000000007,7315150.0,80230.5,201300,,45536,610817.0,28730,5855180,21120,5711,9663,8060.5,,17350,14292,11601,4738854.4,2656.0,24430,69358,,1632700,7595,,29270001.85000001,,9800,,24103.5,,50135,5400,,,,333200,129570
2022-07-01 15:00:00,474412.8,79055,,48551790.4,9064434.000000004,4719653.199999999,12049206,113258703.60000001,22454582.5,,90036.62,365738.5,,688.5,,830,3929754.0,17779720.5,4556868,40390,114782,1414892.9999999995,22710,,19242642.9,1122,,41746097.20000002,6660,61570.0,367774,1692214,,,105477,149109,,81000,747.0,,,9606629.5,134846.67999999996,,4414043.8,11532897.0,4672843.0,1491220.3999999997,677309.9000000001,,728401004.9000001,,,599573.5,,83666.0,364848.4,1421353.2499999998,90749002.0,,38519,99227,,32671784.299999997,49388,154854,32812,10138281.85,23138492,,45930,1984,390704,57856,3320,,2920,,,,,348091,13696,70600,7800,324260,,8720,,7147,56834,562,9424.300000000001,336060,959616.7000000001,,136598.0,95784580.5,101720,92250,206626,776925.0,4397796.0,1216,9630,27207,15662947.850000003,,574008.1,,4125,,13574315.0,301980,,14092,20400,16480,13153319.700000003,620559.2000000001,5263646.999999999,579856,50640,450650,4863.5,27788.5,33037.0,6350,1608305.0,1941935.5,,14421258.049999999,2198200.5,34608722.0,1786236.5000000005,,40150,18980,197627.0,254837.19999999998,2286,34086935.199999996,216029.5,,,23245,92185204.39999996,9588823.600000001,130251.10000000003,20050,3373250.5,34890788,12070890.399999999,70815550.5,53916,68394,12766090.799999997,1442523.8,,,,390594.0,3491133.5,36220,273411.7,139095.8,611880,744961.7999999999,40941.5,1114,63045018.90000002,,,59736581.499999985,5725060.0,3806,1632,4636423.249999999,19690,73196,,,19586,,302882332.59999996,30538359.5,1837061.0,24058.0,5620878.999999999,8854031.25,91580.5,11954314.0,24813692.0,27278887.5,,1086934.8,,156342.5,136585.0,,86530.3,,,3815,7180045.899999998,21211443.2,7087757.0,1505368.0,22295,6359,,,,1875,2318247.1999999997,5413300.0,230595.5,170950,,22496,787885.0,11480,6551073,,319326,3449,201064.0,,,,1148,4314630.199999999,13985.5,40964,31978,,349220,3835,21260,40610235.44999998,7706,5216,,9438.0,,5640,8250,1720,830,,32480,
2022-07-01 16:00:00,485881.80000000005,180200,,32127819.600000005,5654075.599999998,5035995.599999999,8771012,77036222.5,5115280.5,,394404.08,580156.5,4015,714.0,,4150,3922580.5,7856918.0,2049269,322179,49634,1021735.9999999999,,,20825243.9,8578,5480,96788661.59999995,9930,211905.80000000002,256120,1300806,,,108611,12693,,12410,318562.2,,,5730840.5,341392.54,,2172320.000000001,6996981.0,5540262.5,839500.9999999999,2254054.0,,931715424.3999996,,,940814.5,,2025.5,272921.5,2744060.6499999994,73713622.0,,1552145,27455,,14471021.899999999,9172,16314,6068,19763582.55000001,61386046,,,2998,91728,45650,4935,1590,,,10470,9526,,364321,8539,35400,,387500,826,93220,15360,1428,1556,4473,7539.6,136088,236771.69999999998,,433620.0,179228029.5,217870,60640,178130,2348286.5,13793839.8,3618,,18780,24587500.750000004,,559049.6,,25080,,17758853.5,149360,54440,30940,37240,84470,74373166.19999997,371097.99999999994,117301.8,1714230,5335,123762,911.5,20979.5,180202.0,6380,3506862.5,150869.5,21979.5,10218159.0,7242202.0,27843919.5,2362239.4999999995,5292,55300,19000,1798072.0,1145918.8000000003,,63189282.2,961096.5,,560,79470,114505700.2,11990669.900000004,17432.000000000004,,5778007.5,25845725,42002169.09999999,109297483.0,6871,12936,12654265.100000005,8468946.600000003,,,,306321.5,20302893.5,50640,1218388.7999999998,51600.99999999999,77170,1661820.0,55586.5,,45306200.14999999,4032,,13287746.799999999,1378768.0,5980,36021,9717916.400000002,38966,54012,4848,,,,687561277.8000001,55151694.6,3476538.0999999987,60150.0,8084472.700000002,4149188.4499999993,16487.0,12082721.5,81152996.0,56525854.0,,1775712.0000000002,696.5,277297.5,293050.0,,202338.74999999997,,,,10779949.699999997,6318885.599999999,17613517.5,10394901.4,7400,14158,,,,,3814426.599999998,4213300.0,108669.0,4505,,93786,867805.5,17220,4808704,,1284,516643,76155.5,,,6477,3443,4150321.8,2663.5,37706,60096,,1750960,,,35344197.89999999,,11084,,1489303.5,,,,6800,2490,,5860,3500
2022-07-01 17:00:00,320829.5999999999,441385,,38261129.099999994,6483374.4,3191245.2000000007,7115920,86547556.29999998,344864.0,,26082.579999999994,241511.0,,7580.5,,22625,1340640.5,3388782.5,1268327,20219,4101,1350399.6999999997,2660,,7936593.999999997,29800,,39834511.20000001,337580,341363.20000000007,176718,790672,,,102472,271816,1860,14200,4637.8,,,3117889.0,421333.4,,43475981.39999999,2541935.0,15534941.5,614280.7999999999,2332003.4000000004,,588668043.3000001,,,577852.5,,4721.5,339809.5999999999,2234411.5500000003,103425504.0,,581999,11884,,5139676.5,160228,35198,47438,49991731.2,28151926,,38840,,555764,29012,6480,,,3828,,1735,,326857,,,,492240,,11735,6480,6432,24118,558,62626.4,195051,233589.49999999994,,173287.5,57345356.0,228620,162465,233332,1118481.5,9331974.2,4844,3216,683,23020045.299999993,,573421.0000000001,,,,15580066.0,2175110,67015,21608,185270,1620,12244127.200000005,912488.2000000001,11145.599999999999,786234,99150,677006,25579.5,41788.5,294685.5,3160,6550572.5,373520.0,37089.5,22619135.519999996,4671246.5,31590221.0,4486195.999999998,10596,136445,167960,318153.5,1283627.6,109916,16865708.400000002,558475.5,,,23705,125931680.79999998,9840471.3,78120.2,,3693423.0,31096501,37781055.6,229122847.0,78204,15258,16731314.799999993,1547047.4000000001,,,,391397.5,5974329.5,1580,322656.89999999997,32380.8,6020,456155.8,199359.5,24448,114297725.54999998,51212,,8408675.100000001,1009871.0,17952,34416,5743247.55,109118,16950,12132,151116,976,,357704302.4000001,66080346.400000006,1985731.7,138726.0,5214698.199999999,29020944.799999993,226486.0,12373035.5,83504213.5,58316207.0,,3189307.2000000025,,54626.5,454965.0,,147991.74999999997,,460.5,,15484089.499999996,9785456.600000003,23168458.0,4608753.600000001,33335,15127,10060,1430,,,1287092.2000000002,4572200.0,239796.0,910,,1038,4079163.5,5730,5926002,,1923,76224,170705.0,,47695,,7492,3138000.599999999,6011.0,49452,57580,,2091320,,,38022510.00000001,9348,54482,,497965.5,,,,,1650,,315545,7000
2022-07-01 18:00:00,472989.3999999999,187700,,141366722.3,11122911.800000003,3876873.8,4869188,55203899.400000006,2684054.0,,36694.840000000004,424180.0,1140,4982.5,,5010,1495262.0,3236274.0,1101609,67679,13957,1062939.7999999998,17405,,4828293.9,20884,,69699746.0,12970,20325.8,382686,1718196,,,47293,47773,3720,8920,1733.3999999999999,,,6549438.0,585259.7999999998,,4203122.800000001,2682051.0,4468171.0,2998246.1999999997,19127329.900000006,,1338330363.6000001,,,664345.5,,18234.0,83352.4,2237815.85,435040124.0,,83935,2564,,4578017.999999999,33490,6954,139702,44671542.349999994,24127092,,8310,6942,244010,33104,,1585,,,750,18117,,269351,1719,,,257500,1652,5860,6480,712,13052,560,6777.200000000001,16303,160446.1,,110291.5,114962585.0,217900,201400,28608,751442.5,11792459.200000001,,6955,7875,22642997.000000007,,583678.9,2770,,,68411999.5,21040,,5388,,6520,18585901.199999996,622537.1999999998,411203.4,2468226,13375,605462,272697.0,83030.0,141810.0,42140,1285643.0,511667.0,131539.0,20385535.820000004,7594648.0,41535303.5,1687084.1,84970,59990,31630,515995.5,1237269.9999999998,14018,138110323.39999998,384539.0,,,,130282869.19999997,14054794.600000007,101348.9,,2786415.0,48742312,77439806.89999999,149381539.0,2320,15236,8187956.999999999,1315709.6,,,,486355.5,8515963.0,10660,700472.8,7741.0,30150,687101.8000000002,211553.5,22280,132999472.1,4464,,3828876.9,1187071.5,6520,,7109318.250000001,5475,134496,12140,,20094,2638,554154604.4000001,41401865.7,3452855.8,6036.0,4822249.8,36613663.25000005,48760.5,27197770.5,124442005.0,50424937.5,,3031997.6000000006,,26030.0,19080.0,,115576.69999999998,,3216.5,3930,86343565.1000001,27373327.2,18975822.5,1722574.6,1110000,138970,94680,,25950,,2635325.2000000007,3963900.0,88849.5,5405,,5092,1919447.5,,7269333,,1925,569868,51307.0,,3485,,6924,9264426.200000001,3996.0,182600,89670,,1628740,,,70609970.20000018,,29400,,306884.0,,,,,,,5840,
